,parking,blind,lane,parkX,parkZ,stageX,stageZ,spd,gas,range,err] 83.1,40,82.9,14.6,0,0,9,51.2,80,-999,-999,10.9,0.66,18,-0.91
85.8,48.3,81.6,6.3,0,0,0.31,54.1,79.2,-999,-999,5.8,0.66,12,0.04
85.9,48.4,81.4,6.1,0,0,0.26,54.1,79.2,-999,-999,5.9,0.41,4.5,0.43
85.9,48.5,81.1,5.9,0,0,0.2,54.1,79.2,-999,-999,6,0.41,4.5,0.38
86,48.6,80.8,5.7,1,0,1.08,51.5,80.7,-999,-999,6.1,0.41,3,-1.18
86,48.7,80.5,5.5,1,0,1.08,51.5,80.7,-999,-999,5.4,0.41,3,-1.27
86.1,48.8,80.3,5.4,1,0,1.08,51.5,80.7,-999,-999,5.2,0.41,3,-1.34
86.1,48.9,80.1,5.3,1,0,1.08,51.5,80.7,-999,-999,5.3,0.41,3,-1.41
86.2,49,79.8,5.1,1,0,1.04,51.5,80.7,-999,-999,5,0.41,3,-1.48
86.2,49.1,79.6,5,1,0,0.98,51.5,80.7,-999,-999,5.1,0.41,3,-1.54
86.3,49.2,79.4,4.9,1,0,0.88,51.5,80.7,-999,-999,5.2,0.41,3,-1.6
86.3,49.3,79.1,4.8,1,0,0.77,51.5,80.7,-999,-999,5.3,0.41,3,-1.66
86.4,49.5,78.9,4.7,1,0,0.63,51.5,80.7,-999,-999,5.3,0.41,3,-1.71
86.4,49.6,78.7,4.6,1,0,0.48,51.5,80.7,-999,-999,5.4,0.41,3,-1.76
86.5,49.7,78.4,4.5,0,0,0.31,51.5,80.7,-999,-999,5.5,1,18,-3.06
86.5,49.9,78.2,4.4,0,0,0.13,51.5,80.7,-999,-999,5.9,1,18,-3.11
86.6,50,77.9,4.3,0,0,-0.07,51.5,80.7,-999,-999,6.1,1,18,3.14
86.6,50.2,77.7,4.2,0,0,-0.26,51.5,80.7,-999,-999,6.4,1,18,3.1
86.7,50.3,77.4,4.3,1,1,9,54.1,79.2,54.1,73.3,5.3,0.51,9,0.92
86.7,50.3,77.2,4.3,1,1,9,54.1,79.2,54.1,73.3,5.1,0.51,9,0.9
86.8,50.4,76.9,4.3,1,1,9,54.1,79.2,54.1,73.3,5,0.51,9,0.87
86.8,50.5,76.7,4.4,1,1,9,54.1,79.2,54.1,73.3,5,0.51,18,0
86.9,50.7,76.5,4.4,1,1,9,54.1,79.2,54.1,73.3,5,0.51,18,-0.02
86.9,50.8,76.3,4.4,1,1,9,54.1,79.2,54.1,73.3,5.1,0.51,18,-0.04
87,51,76.1,4.5,1,1,9,54.1,79.2,54.1,73.3,5.2,0.51,18,-0.06
87,51.1,75.9,4.5,0,0,0.26,54.1,76.2,-999,-999,5.4,1,18,-0.07
87.1,51.3,75.6,4.5,1,0,0.42,54.1,76.2,-999,-999,5.7,0.51,3,-0.99
87.1,51.5,75.4,4.6,1,0,0.56,54.1,76.2,-999,-999,5.1,0.41,3,-1.06
87.2,51.7,75.3,4.7,1,0,0.7,54.1,76.2,-999,-999,5.1,0.41,3,-1.13
87.2,51.8,75.1,4.7,1,0,0.82,54.1,76.2,-999,-999,4.9,0.41,3,-1.2
87.3,52,74.9,4.8,1,0,0.92,54.1,76.2,-999,-999,4.9,0.41,3,-1.26
